Day,Country,Confirmed,Recovered,Deaths,Active
1,India,0,0,0,0
2,India,0,0,0,0
3,India,0,0,0,0
4,India,0,0,0,0
5,India,0,0,0,0
6,India,0,0,0,0
7,India,0,0,0,0
8,India,0,0,0,0
9,India,1,0,0,1
10,India,1,0,0,1
11,India,1,0,0,1
12,India,2,0,0,2
13,India,3,0,0,3
14,India,3,0,0,3
15,India,3,0,0,3
16,India,3,0,0,3
17,India,3,0,0,3
18,India,3,0,0,3
19,India,3,0,0,3
20,India,3,0,0,3
21,India,3,0,0,3
22,India,3,0,0,3
23,India,3,0,0,3
24,India,3,0,0,3
25,India,3,0,0,3
26,India,3,3,0,0
27,India,3,3,0,0
28,India,3,3,0,0
29,India,3,3,0,0
30,India,3,3,0,0
31,India,3,3,0,0
32,India,3,3,0,0
33,India,3,3,0,0
34,India,3,3,0,0
35,India,3,3,0,0
36,India,3,3,0,0
37,India,3,3,0,0
38,India,3,3,0,0
39,India,3,3,0,0
40,India,3,3,0,0
41,India,5,3,0,2
42,India,5,3,0,2
43,India,28,3,0,25
44,India,30,3,0,27
45,India,31,3,0,28
46,India,34,3,0,31
47,India,39,3,0,36
48,India,43,3,0,40
49,India,56,4,0,52
50,India,62,4,1,57
51,India,73,4,1,68
52,India,82,4,2,76
53,India,102,4,2,96
54,India,113,13,2,98
55,India,119,13,2,104
56,India,142,14,3,125
57,India,156,14,3,139
58,India,194,15,4,175
59,India,244,20,5,219
60,India,330,23,4,303
61,India,396,27,7,362
62,India,499,27,10,462
63,India,536,40,10,486
64,India,657,43,12,602
65,India,727,45,20,662
66,India,887,73,20,794
67,India,987,84,24,879
68,India,1024,95,27,902
69,India,1251,102,32,1117
70,India,1397,123,35,1239
71,India,1998,148,58,1792
72,India,2543,191,72,2280
73,India,2567,192,72,2303
74,India,3082,229,86,2767
75,India,3588,229,99,3260
76,India,4778,375,136,4267
77,India,5311,421,150,4740
78,India,5916,506,178,5232
79,India,6725,620,226,5879
80,India,7598,774,246,6578
81,India,8446,969,288,7189
82,India,9205,1080,331,7794
83,India,10453,1181,358,8914
84,India,11487,1359,393,9735
85,India,12322,1432,405,10485
86,India,13430,1768,448,11214
87,India,14352,2041,486,11825
88,India,15722,2463,521,12738
89,India,17615,2854,559,14202
90,India,18539,3273,592,14674
91,India,20080,3975,645,15460
92,India,21370,4370,681,16319
93,India,23077,5012,721,17344
94,India,24530,5498,780,18252
95,India,26283,5939,825,19519
96,India,27890,6523,881,20486
97,India,29451,7137,939,21375
98,India,31324,7747,1008,22569
99,India,33062,8437,1079,23546
100,India,34863,9068,1154,24641
101,India,37257,10007,1223,26027
102,India,39699,10819,1323,27557
103,India,42505,11775,1391,29339
104,India,46437,12847,1566,32024
105,India,49400,14142,1693,33565
106,India,52987,15331,1785,35871
107,India,56351,16776,1889,37686
108,India,59695,17887,1985,39823
109,India,62808,19301,2101,41406
110,India,67161,20969,2212,43980
111,India,70768,22549,2294,45925
112,India,74292,24420,2415,47457
113,India,78055,26400,2551,49104
114,India,81997,27969,2649,51379
115,India,85784,30258,2753,52773
116,India,90648,34224,2871,53553
117,India,95698,36795,3025,55878
118,India,100328,39233,3156,57939
119,India,106475,42309,3302,60864
120,India,112028,45422,3434,63172
121,India,118226,48553,3584,66089
122,India,124794,51824,3726,69244
123,India,131423,54385,3868,73170
124,India,138536,57692,4024,76820
125,India,144950,60706,4172,80072
126,India,150793,64277,4344,82172
127,India,158086,67749,4534,85803
128,India,165386,70920,4711,89755
129,India,173491,82627,4980,85884
130,India,181827,86936,5185,89706
131,India,190609,91852,5408,93349
132,India,198370,95754,5608,97008
133,India,207191,100285,5829,101077
134,India,216824,104071,6088,106665
135,India,226713,108450,6363,111900
136,India,236184,113233,6649,116302
137,India,246622,118695,6946,120981
138,India,257486,123848,7207,126431
139,India,265928,129095,7473,129360
140,India,276146,134670,7750,133726
141,India,286605,135206,8102,143297
142,India,297535,147195,8498,141842
143,India,308993,154330,8884,145779
144,India,320922,162379,9195,149348
145,India,332424,169798,9520,153106
146,India,343091,180013,9900,153178
147,India,354065,186935,11903,155227
148,India,366946,194325,12237,160384
149,India,380532,204711,12573,163248
150,India,395048,213831,12948,168269
151,India,410451,227728,13254,169469
152,India,425282,237196,13699,174387
153,India,440215,248190,14011,178014
154,India,456183,258685,14476,183022
155,India,473105,271697,14894,186514
156,India,490401,285637,15301,189463
157,India,508953,295881,15685,197387
158,India,528859,309713,16095,203051
159,India,548318,321723,16475,210120
160,India,566840,334822,16893,215125
161,India,585481,347912,17400,220169
162,India,604641,359860,17834,226947
163,India,625544,379892,18213,227439
164,India,648315,394227,18655,235433
165,India,673165,409083,19268,244814
166,India,697413,424433,19693,253287
167,India,719664,439934,20159,259571
168,India,742417,456831,20642,264944
169,India,767296,476378,21129,269789
170,India,793802,495513,21604,276685
171,India,820916,515386,22123,283407
172,India,849522,534618,22673,292231
173,India,878254,553471,23174,301609
174,India,906752,571460,23727,311565
175,India,936181,592032,24309,319840
176,India,968857,612768,24914,331175
177,India,1003832,635757,25602,342473
178,India,1039084,653751,26273,359060
179,India,1077781,677423,26816,373542
180,India,1118206,700087,27497,390622
181,India,1155338,724578,28082,402678
182,India,1193078,753050,28732,411296
183,India,1238798,782607,29861,426330
184,India,1288108,817209,30601,440298
185,India,1337024,849432,31358,456234
186,India,1385635,885573,32060,468002
187,India,1435616,917568,32771,485277
188,India,1480073,951166,33408,495499
189,India,1531669,988029,34193,509447
190,India,1581963,1019735,34955,527273
191,India,1634746,1055348,35718,543680
192,India,1695988,1094374,36511,565103
193,India,1750723,1145629,37364,567730
194,India,1803695,1186203,38135,579357
195,India,1855745,1230509,38938,586298
196,India,1908254,1282215,39795,586244
197,India,1964536,1328336,40699,595501
198,India,2027074,1378105,41585,607384
199,India,2088611,1427005,42518,619088
200,India,2153010,1480884,43379,628747
201,India,2215074,1535743,44386,634945
202,India,2268675,1583489,45257,639929
203,India,2329638,1639599,46091,643948
204,India,2396637,1695982,47033,653622
205,India,2461190,1751555,48040,661595
206,India,2525922,1808936,49036,667950
207,India,2589952,1862258,49980,677714
208,India,2647663,1919842,50921,676900
209,India,2702681,1977671,51797,673213
210,India,2767253,2037816,52888,676549
211,India,2836925,2096664,53866,686395
212,India,2905825,2158946,54849,692030
213,India,2975701,2222577,55794,697330
214,India,3044940,2280566,56706,707668
215,India,3106348,2338035,57542,710771
216,India,3167323,2404585,58390,704348
217,India,3224547,2458339,59357,706851
218,India,3310234,2523771,60472,725991
219,India,3387500,2583948,61529,742023
220,India,3463972,2648998,62550,752424
221,India,3542733,2713933,63498,765302
222,India,3621245,2774801,64469,781975
223,India,3691166,2839882,65288,785996
224,India,3769523,2901908,66333,801282
225,India,3853406,2970492,67376,815538
226,India,3936747,3037151,68472,831124
227,India,4023179,3107223,69561,846395
228,India,4113811,3180865,70626,862320
229,India,4204613,3250429,71642,882542
230,India,4280422,3323950,72775,883697
231,India,4370128,3398844,73890,897394
232,India,4465863,3471783,75062,919018
233,India,4562414,3542663,76271,943480
234,India,4659984,3624196,77472,958316
235,India,4754356,3702595,78586,973175
236,India,4846427,3780107,79722,986598
237,India,4930236,3859399,80776,990061
238,India,5020359,3942360,82066,995933
239,India,5118253,4025079,83198,1009976
240,India,5214677,4112551,84372,1017754
241,India,5308014,4208431,85619,1013964
242,India,5400619,4303043,86752,1010824
243,India,5487580,4396399,87882,1003299
244,India,5562663,4497867,88935,975861
245,India,5646010,4587613,90020,968377
246,India,5732518,4674987,91149,966382
247,India,5818570,4756164,92290,970116
248,India,5903932,4849584,93379,960969
249,India,5992532,4941627,94503,956402
250,India,6074702,5016520,95542,962640
251,India,6145291,5101397,96318,947576
252,India,6225763,5187825,97497,940441
253,India,6312584,5273201,98678,940705
254,India,6394068,5352078,99773,942217
255,India,6473544,5427706,100842,944996
256,India,6549373,5509966,101782,937625
257,India,6623815,5586703,102685,934427
258,India,6685082,5662490,103569,919023
259,India,6757131,5744693,104555,907883
260,India,6835655,5827704,105526,902425
261,India,6906151,5906069,106490,893592
262,India,6979423,5988822,107416,883185
263,India,7053806,6077976,108334,867496
264,India,7120538,6149535,109150,861853
265,India,7175880,6227295,109856,838729
266,India,7239389,6301927,110586,826876
267,India,7307097,6383441,111266,812390
268,India,7370468,6453779,112161,804528
269,India,7432680,6524595,112998,795087
270,India,7494551,6597209,114031,783311
271,India,7550273,6663608,114610,772055
272,India,7597063,6733328,115197,748538
273,India,7651107,6795103,115914,740090
274,India,7706946,6874518,116616,715812
275,India,7761312,6948497,117306,695509
276,India,7814682,7016046,117956,680680
277,India,7864811,7078123,118534,668154
278,India,7909959,7137228,119014,653717
279,India,7946429,7201070,119502,625857
280,India,7990322,7259509,120010,610803
281,India,8040203,7315989,120527,603687
282,India,8088851,7373375,121090,594386
283,India,8137119,7432829,121641,582649
284,India,8184082,7491513,122111,570458
285,India,8229313,7544798,122607,561908
286,India,8267623,7603121,123097,541405
287,India,8313876,7656478,123611,533787
288,India,8364086,7711809,124315,527962
289,India,8411724,7765966,124985,520773
290,India,8462080,7819886,125562,516632
291,India,8507754,7868968,126121,512665
292,India,8553657,7917373,126611,509673
293,India,8591730,7959406,127059,505265
294,India,8636011,8013783,127571,494657
295,India,8683916,8066501,128121,489294
296,India,8728795,8115580,128668,484547
297,India,8773479,8163572,129188,480719
298,India,8814579,8205728,129635,479216
299,India,8845127,8249579,130070,465478
300,India,8874290,8290370,130519,453401
301,India,8912907,8335109,130993,446805
302,India,8958483,8383602,131578,443303
303,India,9004365,8428409,132162,443794
304,India,9050597,8478124,132726,439747
305,India,9095806,8521617,133227,440962
306,India,9139865,8562641,133738,443486
307,India,9177840,8604955,134218,438667
308,India,9222216,8642771,134699,444746
309,India,9266705,8679138,135223,452344
310,India,9309787,8718517,135715,455555
